Country,Year,Total GHG Emissions Excluding Land-Use Change and Forestry (MtCO2e),Total GHG Emissions Including Land-Use Change and Forestry (MtCO2e),Total CO? Excluding Land-Use Change and Forestry (MtCO2),Total CH4 (MtCO2e),Total N2O (MtCO2e),Total F-Gas (MtCO2e),Energy (MtCO2e),Industrial Processes (MtCO2e),Agriculture (MtCO2e),Waste (MtCO2e),LUCF (MtCO2),Bunker Fuels (MtCO2),Electricity/Heat (MtCO2),Manufacturing/Construction (MtCO2),Transportation (MtCO2),Other Fuel Combustion (MtCO2e),Fugitive Emissions (MtCO2e)
Afghanistan,1990,14.9945,14.9945,2.9907,9.391256477,2.610380976,0.002180228,,0.057140228,7.048703926,4.038953624,0,,,,,,1.255569903
Afghanistan,1991,14.8345,14.8345,2.7412,9.495961539,2.593733037,0.00361306,,0.05857306,7.122341153,4.220035859,0,,,,,,1.022647563
Afghanistan,1992,13.608,13.608,1.4252,9.600666602,2.577085098,0.005045892,,0.063669892,7.195978381,4.401118095,0,,,,,,0.602585224
Afghanistan,1993,13.6243,13.6243,1.352,9.705371664,2.560437159,0.006478724,,0.065102724,7.269615608,4.58220033,0,,,,,,0.413992885
Afghanistan,1994,13.6588,13.6588,1.2971,9.810076726,2.54378922,0.007911556,,0.066535556,7.343252836,4.763282565,0,,,,,,0.247330546
Afghanistan,1995,13.697,13.697,1.2458,9.914781789,2.527141282,0.009344387,,0.067968387,7.416890063,4.944364801,0,,,,,,0.080668207
Afghanistan,1996,14.1398,14.1398,1.1761,10.30507823,2.641248175,0.017301205,,0.075925205,7.763926354,5.098415261,0,,,,,,0.083984789
Afghanistan,1997,14.5642,14.5642,1.0882,10.69537467,2.755355068,0.025258022,,0.083882022,8.110962645,5.252465722,0,,,,,,0.087301371
Afghanistan,1998,15.0216,15.0216,1.0332,11.08567111,2.869461962,0.033214839,,0.091838839,8.457998937,5.406516182,0,,,,,,0.090617953
Afghanistan,1999,15.3068,15.3068,0.8061,11.47596755,2.983568855,0.041171657,,0.099795657,8.805035228,5.560566643,0,,,,,,0.093934536
Afghanistan,2000,15.7715,15.7715,0.7584,11.86626399,3.097675749,0.049128474,,0.074776474,9.152071519,5.714617104,0,,,,,,0.097251118
Afghanistan,2001,15.9133,15.9133,0.6229,12.09610205,3.129922544,0.064441495,,0.090089495,9.249627014,5.895407054,0,,,,,,0.080990525
Afghanistan,2002,15.9269,15.9269,0.3591,12.32594011,3.162169339,0.079754515,,0.109066515,9.347182509,6.076197004,0,,,,,,0.064729932
Afghanistan,2003,16.4278,16.4278,0.5826,12.55577816,3.194416135,0.095067536,,0.131707536,9.444738004,6.256986954,0,,,,,,0.048469339
Afghanistan,2004,16.8591,16.8591,0.7365,12.78561622,3.22666293,0.110380557,,0.147020557,9.542293499,6.437776904,0,,,,,,0.032208746
Afghanistan,2005,17.415,17.415,1.0149,13.01545428,3.258909725,0.125693578,,0.155005578,9.639848994,6.618566854,0,,,,,,0.015948153
Afghanistan,2006,18.1199,18.1199,1.3374,13.32924906,3.307790625,0.145514034,,0.171162034,9.805568592,6.81508942,0,,,,,,0.016381676
Afghanistan,2007,19.1546,19.1546,1.9896,13.64304385,3.356671524,0.165334491,,0.190982491,9.97128819,7.011611986,0,,,,,,0.0168152
Afghanistan,2008,21.468,21.468,3.9205,13.95683864,3.405552424,0.185154947,,0.203474947,10.13700779,7.208134552,0,,,,,,0.017248723
Afghanistan,2009,24.4483,24.4483,6.5183,14.27063343,3.454433324,0.204975403,,0.219631403,10.30272739,7.404657117,0,,,,,,0.017682246
Afghanistan,2010,26.5382,26.5382,8.2257,14.58442821,3.503314223,0.22479586,,0.24311586,10.46844698,7.601179683,0,,,,,,0.01811577
Afghanistan,2011,25.314,25.314,6.5892,14.91880606,3.555945303,0.250074812,,,10.64904934,7.807114323,0,,,,,,0.018587706
Albania,1990,11.4077,11.5167,6.6237,3.59778003,1.182666216,0.003542118,8.078514606,0.388430118,2.387191352,0.553580288,0.10903,0,0.75,2.76,0.7,3.085539643,0.782974963
Albania,1991,9.1946,9.3036,4.6804,3.386397278,1.124289366,0.003475966,5.89307969,0.315083966,2.42776684,0.558680114,0.10903,0,0.56,2,0.53,2.164365268,0.638714422
Albania,1992,7.0733,7.1849,2.8289,3.175014526,1.065912516,0.003409814,3.917644774,0.113497814,2.468342328,0.56377994,0.1116,0,0.42,1.34,0.4,1.263190893,0.494453881
Albania,1993,6.2834,6.3976,2.3089,2.963631774,1.007535666,0.003343662,3.102209858,0.113431662,2.508917817,0.568879765,0.11417,0,0.56,0.77,0.5,0.922016519,0.35019334
Albania,1994,6.0985,6.2152,2.3938,2.752249021,0.949158817,0.00327751,2.919254942,0.06573351,2.549493305,0.573979591,0.11674,0,0.63,0.69,0.63,0.690842144,0.278412798
Albania,1995,5.3938,5.5131,1.9589,2.540866269,0.890781967,0.003211358,2.111340026,0.113299358,2.590068793,0.579079417,0.11931,0,0.33,0.59,0.62,0.509667769,0.061672257
Albania,1996,5.4168,5.5383,1.9726,2.51563391,0.924802262,0.003792257,2.104085784,0.117544257,2.603613849,0.581576539,0.12144,0,0.27,0.53,0.61,0.642475883,0.051609901
Albania,1997,4.9349,5.0589,1.4813,2.49040155,0.958822558,0.004373156,1.666831542,0.066829156,2.617158904,0.584073661,0.12401,0,0.24,0.33,0.49,0.565283996,0.041547546
Albania,1998,5.1733,5.3,1.7103,2.46516919,0.992842853,0.004954055,1.8995773,0.056418055,2.63070396,0.586570784,0.12672,0,0.22,0.43,0.73,0.48809211,0.03148519
Albania,1999,6.4536,6.5828,2.9813,2.439936831,1.026863148,0.005534954,3.162323057,0.067990954,2.644249015,0.589067906,0.12915,0.11,0.26,0.54,1.39,0.950900223,0.021422834
Albania,2000,6.6196,6.7517,3.1379,2.414704471,1.060883444,0.006115853,3.265068815,0.105211853,2.657794071,0.591565029,0.13207,0.12,0.32,0.52,1.45,0.963708337,0.011360479
Albania,2001,6.5632,7.4347,3.2,2.359771694,0.995420117,0.0079975,3.427236829,0.0191575,2.522189328,0.594605654,0.87149,0.13,0.29,0.59,1.53,1.001185926,0.016050903
Albania,2002,6.9347,7.8147,3.69,2.304838918,0.92995679,0.009879148,3.929404842,0.021039148,2.386584586,0.597646279,0.88002,0.13,0.28,0.5,1.75,1.378663515,0.020741328
Albania,2003,7.2756,8.166,4.1495,2.249906141,0.864493464,0.011760796,4.131572856,0.312376796,2.250979844,0.600686904,0.8904,0.14,0.37,0.57,1.9,1.266141104,0.025431752
Albania,2004,7.4434,8.3413,4.4358,2.194973364,0.799030137,0.013642444,4.41374087,0.310594444,2.115375102,0.603727529,0.8979,0.15,0.29,0.64,2.27,1.183618693,0.030122177
Albania,2005,7.1246,8.0317,4.2355,2.140040588,0.73356681,0.015524091,4.265908883,0.272172091,1.97977036,0.606768155,0.90711,0.17,0.3,0.55,2.35,1.031096282,0.034812601
Albania,2006,7.0147,6.8005,4.1501,2.120193473,0.728068191,0.016291035,4.179069607,0.287595035,1.947977138,0.610054919,-0.21422,0.14,0.27,0.78,1.9,1.192367652,0.036701955
Albania,2007,7.1533,6.9496,4.3133,2.100346359,0.722569572,0.017057979,4.15223033,0.471561979,1.916183916,0.613341684,-0.20376,0.06,0.33,0.73,2.07,0.983639022,0.038591308
Albania,2008,7.0834,6.8734,4.268,2.080499244,0.717070953,0.017824922,4.095391054,0.486984922,1.884390695,0.616628449,-0.20997,0.08,0.28,0.6,2.26,0.914910392,0.040480662
Albania,2009,6.7941,6.5853,4.0033,2.06065213,0.711572335,0.018591866,3.758551778,0.583015866,1.852597473,0.619915214,-0.20877,0.05,0.17,0.58,2.2,0.766181762,0.042370016
Albania,2010,7.1048,6.8977,4.3385,2.040805015,0.706073716,0.019358809,3.981712501,0.67904681,1.820804251,0.623201978,-0.20709,0.05,0.09,0.83,2.21,0.807453132,0.044259369
Albania,2011,6.6421,6.435,3.87,2.042046328,0.709250023,0.020793392,4.178089828,,1.815238551,0.626807972,-0.20709,0.06,0.13,0.87,2.32,0.813442078,0.044647751
Algeria,1990,101.7321,103.1966,69.5996,18.28979005,13.81550153,0.027188265,77.27942592,3.368883697,16.78094829,4.302829944,1.46454,2.45,23.09,7.45,15.65,6.7901002,24.29932572
Algeria,1991,100.2776,101.7421,68.635,18.8631331,12.74138,0.038069415,76.68376899,3.395241361,15.68072809,4.507880081,1.4645,2.14,24.06,7.99,16.71,7.732941297,20.19082769
Algeria,1992,99.3323,100.7972,68.1796,19.43647616,11.66725847,0.048950565,76.56592205,3.472895025,14.5805079,4.712930218,1.46498,2.13,24.06,8.39,16.63,7.975782394,19.51013966
Algeria,1993,106.2182,107.6836,75.5554,20.00981921,10.59313694,0.059831716,84.28965512,3.510244688,13.4802877,4.917980355,1.46547,2.02,25.25,8.36,16.79,8.418623491,25.47103163
Algeria,1994,103.4173,104.8832,73.2444,20.58316226,9.519015409,0.070712866,82.53514819,3.379050352,12.38006751,5.123030492,1.46595,2.06,24.93,7.73,15.37,8.361464588,26.1436836
Algeria,1995,104.3708,105.8372,74.6878,21.15650532,8.444893878,0.081594016,83.96541125,3.797456016,11.27984731,5.328080629,1.46643,2.13,25.85,7.88,14.96,8.294305685,26.98110557
Algeria,1996,103.9504,105.4173,72.7802,23.55149769,7.471017067,0.147713619,83.93356513,3.699259619,10.36870145,5.958868183,1.46691,1.99,25.71,7.25,14.82,8.522998672,27.63056646
Algeria,1997,107.3332,108.8006,74.6757,25.94649007,6.497140255,0.213833221,87.236929,4.059063221,9.457555583,6.589655738,1.46739,1.87,27.68,7.1,14.87,8.201691659,29.38523734
Algeria,1998,110.292,111.7598,76.1473,28.34148244,5.523263444,0.279952824,90.21150287,4.323602824,8.546409719,7.220443292,1.46787,1.75,27.74,7.22,15.31,8.860384646,31.08111823
Algeria,1999,115.5473,117.0156,79.9153,30.73647482,4.549386633,0.346072426,95.66415675,4.386622426,7.635263856,7.851230846,1.46835,1.77,29.27,8.38,16.31,9.319077633,32.38507911
Algeria,2000,118.0619,119.5307,80.9427,33.13146719,3.575509822,0.412192029,98.00671062,4.849018029,6.724117993,8.4820184,1.46883,1.94,29.13,8.45,16.68,9.56777062,34.17894
Algeria,2001,115.3976,116.8641,77.1518,34.30829718,3.389105029,0.54844686,95.20685852,4.975054985,6.604883395,8.600848169,1.46642,1.96,30.15,8.54,16.87,9.769354837,29.87750369
Algeria,2002,122.2284,123.6949,82.8558,35.48512718,3.202700236,0.684701691,101.5738664,5.449171941,6.485648798,8.719677938,1.46654,2.15,32.22,8.97,19.17,10.15093905,31.06292737
Algeria,2003,126.7923,128.259,86.2931,36.66195717,3.016295444,0.820956523,106.0121843,5.575208898,6.3664142,8.838507707,1.46667,1.87,32.48,9.34,21.55,10.94252327,31.69966106
Algeria,2004,128.6003,130.067,86.9744,37.83878716,2.829890651,0.957211354,106.7078822,6.697853854,6.247179603,8.957337476,1.46679,2.16,31.68,9.94,21.81,11.78410749,31.49377474
Algeria,2005,134.3725,135.8395,91.62,39.01561715,2.643485859,1.093466185,111.4468501,7.721570811,6.127945005,9.076167245,1.46692,2.33,32.54,10.49,23.93,12.77569171,31.71115843
Algeria,2006,140.0352,141.5008,96.291,39.59141352,2.657300736,1.495509494,115.5779069,9.066088329,6.202140185,9.189084314,1.46559,2.21,34.16,10.85,25.38,12.48655691,32.70135
Algeria,2007,148.4112,149.8773,103.6753,40.16720988,2.671115613,1.897552804,122.7876837,10.05519785,6.276335365,9.302001384,1.46613,2.21,33.9,11.87,27.33,13.89742212,35.79026158
Algeria,2008,153.6724,155.1391,107.9449,40.74300624,2.684930491,2.299596113,126.6977805,11.20918737,6.350530544,9.414918453,1.46667,2.26,35.22,12.07,28.89,13.78828733,36.72949315
Algeria,2009,163.7519,165.2191,117.0327,41.3188026,2.698745368,2.701639422,135.3408973,12.45844088,6.424725724,9.527835523,1.46721,2.33,36.94,12.3,30.22,17.67915253,38.20174473
Algeria,2010,165.2449,166.7126,117.5341,41.89459897,2.712560245,3.103682731,135.800564,13.3046544,6.498920904,9.640752592,1.46775,2.43,36.59,13.1,31.41,17.09001774,37.6105463
Algeria,2011,171.0483,172.516,121.3781,43.35517855,2.738071307,3.576946062,140.4238789,14.25352702,6.605580567,9.755265258,1.46775,2.23,39.6,13.51,32.34,18.84791267,36.12596627
Angola,1990,134.4972,174.8879,6.4579,62.45220511,65.58510018,0.002045418,25.21621157,0.130285418,108.6455871,0.515156647,40.3907,1.05,0.5,1.85,1.01,1.604231117,20.25198045
Angola,1991,133.6367,174.0274,6.6611,62.06526615,64.90778136,0.002579902,26.7033341,0.130819902,106.2634668,0.529096627,40.3907,0.9,0.46,1.72,1.24,1.647318582,21.63601552
Angola,1992,132.3708,172.7608,6.4589,61.67832719,64.23046254,0.003114385,27.78303663,0.153338385,103.8813465,0.543036607,40.39008,0.82,0.4,1.79,1.17,1.600406046,22.82263058
Angola,1993,131.8479,172.2373,6.9997,61.29138824,63.55314372,0.003648869,29.67342916,0.128224869,101.4992262,0.556976587,40.38946,0.92,0.34,2.25,1.2,1.523493511,24.35993565
Angola,1994,130.5667,170.9555,6.7822,60.90444928,62.87582491,0.004183353,30.77356169,0.125095353,99.11710592,0.570916567,40.38885,1.33,0.42,1.68,1.53,1.666580976,25.47698072
Angola,1995,133.5884,173.9766,10.8677,60.51751032,62.19850609,0.004717836,36.16491423,0.103645836,96.73498564,0.584856547,40.38823,1.2,0.41,1.83,1.06,1.71966844,31.14524579
Angola,1996,135.0898,175.2878,11.4655,61.29392854,62.32250381,0.007879457,37.50125107,0.143447457,96.83834604,0.596755238,40.19802,1.04,0.43,1.91,0.98,1.988733105,32.19251796
Angola,1997,136.3119,176.1775,11.784,62.07034675,62.44650154,0.011041078,38.60024791,0.161265078,96.94170645,0.608653928,39.86559,1.05,0.66,1.77,1.04,2.01779777,33.11245014
Angola,1998,137.1478,177.5595,11.7163,62.84676497,62.57049926,0.014202698,39.29206476,0.190074698,97.04506685,0.620552619,40.41176,0.67,0.61,1.6,0.83,2.146862435,34.10520232
Angola,1999,139.1457,179.0282,12.8107,63.62318318,62.69449698,0.017364319,41.2349116,0.119956319,97.14842726,0.632451309,39.88247,1.18,0.87,1.61,1.14,2.4259271,35.1889845
Angola,2000,140.0636,180.3512,12.825,64.3996014,62.81849471,0.02052594,42.04801844,0.11945394,97.25178766,0.64435,40.28759,1.42,0.96,2.02,1.06,2.244991765,35.76302668
Angola,2001,146.1246,185.1177,13.4909,68.61555417,63.99051755,0.027663865,46.45466697,0.302463865,98.66172475,0.70574,38.99312,1.53,1.06,2.16,1.19,2.415187243,39.62947972
Angola,2002,152.3402,192.7644,14.3113,72.83150694,65.16254039,0.034801791,51.16977549,0.331585791,100.0716618,0.76713,40.42428,1.32,1.07,2.42,1.47,2.495382721,43.71439277
Angola,2003,162.1119,202.934,18.688,77.0474597,66.33456323,0.041939717,59.41178401,0.390019717,101.4815989,0.82852,40.8221,0.8,1.24,2.48,2.73,2.595578199,50.36620581
Angola,2004,169.3235,210.8743,20.5044,81.26341247,67.50658607,0.049077643,65.12560253,0.426469643,102.891536,0.88991,41.55081,1.31,0.89,3.56,3.11,2.695773677,54.86982885
Angola,2005,173.5881,215.2784,19.3739,85.47936524,68.67860891,0.056215568,67.62324105,0.712071568,104.3014731,0.9513,41.69029,0.91,1,2.77,2.43,2.445969155,58.97727189
Angola,2006,182.745,222.1557,20.7232,93.24703443,68.71040617,0.064359886,76.46255861,0.749527886,104.3472715,1.1856505,39.41067,0.82,1.09,2.25,3.23,3.431477033,66.46108158
Angola,2007,193.2325,234.5285,23.403,101.0147036,68.74220344,0.072504204,86.66071617,0.768664204,104.3930699,1.420001,41.29605,1.23,1.21,2.43,3.82,3.83698491,75.36373126
Angola,2008,202.7166,242.4207,25.0796,108.7823728,68.77400071,0.080648521,95.66608373,0.967336521,104.4388683,1.6543515,39.70406,1.32,1.61,2.28,5.1,4.502492788,82.17359094
Angola,2009,212.6722,252.3366,27.2276,116.550042,68.80579797,0.088792839,105.3223413,0.986472839,104.4846667,1.888702,39.66437,1.21,2.47,2.49,5.65,5.078000665,89.63434062
Angola,2010,222.219,262.3005,28.9668,124.3177112,68.83759524,0.096937157,114.7310888,0.844393157,104.5304651,2.1230525,40.08147,1.19,2.63,2.62,6.71,5.413508543,97.3575803
Angola,2011,223.3533,263.4348,28.4594,125.9059469,68.87999728,0.107982037,116.4600577,,104.6175181,2.167738436,40.08147,1.16,2.4,2.71,6.82,5.439276733,99.09078094
Antigua & Barbuda,1990,0.4425,0.4172,0.3004,0.106719847,0.035292788,0,,0,0.055997028,0.085175607,-0.0253,,,,,,0
Antigua & Barbuda,1991,0.4434,0.4181,0.2931,0.111273332,0.036025423,0.002945761,,0.002945761,0.056841889,0.089616866,-0.0253,,,,,,0
Antigua & Barbuda,1992,0.4516,0.4263,0.2931,0.115826817,0.036758059,0.005891522,,0.005891522,0.05768675,0.094058125,-0.0253,,,,,,0
Antigua & Barbuda,1993,0.4745,0.4492,0.3078,0.120380302,0.037490694,0.008837284,,0.008837284,0.058531611,0.098499385,-0.0253,,,,,,0
Antigua & Barbuda,1994,0.4864,0.4611,0.3114,0.124933787,0.038223329,0.011783045,,0.011783045,0.059376473,0.102940644,-0.0253,,,,,,0
Antigua & Barbuda,1995,0.5056,0.4803,0.3224,0.129487273,0.038955965,0.014728806,,0.014728806,0.060221334,0.107381904,-0.0253,,,,,,0
Antigua & Barbuda,1996,0.5239,0.4986,0.3224,0.134073822,0.039214707,0.028170632,,0.028170632,0.060574578,0.111873951,-0.0253,,,,,,0
Antigua & Barbuda,1997,0.5568,0.5315,0.3371,0.138660371,0.039473449,0.041612458,,0.041612458,0.060927823,0.116365998,-0.0253,,,,,,0
Antigua & Barbuda,1998,0.5715,0.5462,0.3334,0.143246921,0.039732191,0.055054284,,0.055054284,0.061281067,0.120858045,-0.0253,,,,,,0
Antigua & Barbuda,1999,0.6044,0.5791,0.3481,0.14783347,0.039990934,0.06849611,,0.06849611,0.061634312,0.125350092,-0.0253,,,,,,0
Antigua & Barbuda,2000,0.619,0.5937,0.3444,0.152420019,0.040249676,0.081937936,,0.081937936,0.061987557,0.129842139,-0.0253,,,,,,0
Antigua & Barbuda,2001,0.6432,0.6285,0.3444,0.154623972,0.040679895,0.103451047,,0.103451047,0.06256795,0.131884433,-0.01467,,,,,,0
Antigua & Barbuda,2002,0.6856,0.671,0.3627,0.156827924,0.041110113,0.124964159,,0.124964159,0.063148344,0.133926727,-0.01467,,,,,,0
Antigua & Barbuda,2003,0.7354,0.7208,0.3884,0.159031877,0.041540332,0.146477271,,0.146477271,0.063728738,0.135969021,-0.01467,,,,,,0
Antigua & Barbuda,2004,0.7779,0.7632,0.4067,0.16123583,0.041970551,0.167990382,,0.167990382,0.064309132,0.138011315,-0.01467,,,,,,0
Antigua & Barbuda,2005,0.8057,0.791,0.4104,0.163439782,0.042400769,0.189503494,,0.189503494,0.064889525,0.140053609,-0.01467,,,,,,0
Antigua & Barbuda,2006,0.8488,0.8488,0.425,0.165565782,0.042877735,0.215347927,,0.215347927,0.065588439,0.141941163,0,,,,,,0
Antigua & Barbuda,2007,0.8956,0.8956,0.4433,0.167691782,0.0433547,0.24119236,,0.24119236,0.066287353,0.143828717,0,,,,,,0
Antigua & Barbuda,2008,0.9387,0.9387,0.458,0.169817781,0.043831665,0.267036794,,0.267036794,0.066986266,0.145716271,0,,,,,,0
Antigua & Barbuda,2009,1.0074,1.0074,0.4983,0.171943781,0.04430863,0.292881227,,0.292881227,0.06768518,0.147603825,0,,,,,,0
Antigua & Barbuda,2010,1.0505,1.0505,0.513,0.174069781,0.044785595,0.318725661,,0.318725661,0.068384094,0.149491379,0,,,,,,0
Antigua & Barbuda,2011,1.2977,1.2977,0.7316,0.176358609,0.045035251,0.344739335,,,0.068951008,0.151449583,0,,,,,,0
Argentina,1990,244.7337,309.1224,106.357,80.40182984,56.31386692,1.66093286,114.2173073,3.606655093,117.5299342,9.389757022,64.38874,2.22,34.09,15.77,28.16,22.99495535,13.20235194
Argentina,1991,251.9178,316.2674,111.6405,81.36577007,57.45013579,1.461362027,120.1477764,3.302927399,118.8018889,9.655183101,64.3496,1.5,38.06,15.73,29.67,23.25467048,13.43310597
Argentina,1992,256.0987,321.1886,113.9208,82.32971029,58.58640466,1.261791193,122.1744356,3.929855704,120.0738437,9.920609179,65.08989,1.52,37.57,15.97,31.8,23.53438561,13.30005
Argentina,1993,261.6414,327.4716,117.5629,83.29365052,59.72267352,1.06222036,126.0803948,4.02916801,121.3457984,10.18603526,65.83018,1.2,34.53,16.11,35.39,26.16410074,13.88629403
Argentina,1994,270.7666,337.3371,124.7874,84.25759075,60.85894239,0.862649527,133.5605739,4.146800315,122.6177531,10.45146134,66.57047,2.12,31.9,23.2,37.24,27.02381587,14.19675806
Argentina,1995,272.5621,339.8729,124.6823,85.22153097,61.99521126,0.663078693,134.4202331,3.535296621,123.8897078,10.71688741,67.31076,3.29,30.67,23.34,38.28,27.623531,14.50670209
Argentina,1996,289.0862,357.1047,138.787,85.74401301,63.81437362,0.740822808,148.9078379,3.451192654,125.3511396,11.37605333,68.01846,3.8,37.11,25.3,39.37,30.22963969,16.89819817
Argentina,1997,292.2421,360.9374,139.5235,86.26649506,65.63353599,0.818566923,148.9939926,4.400336687,126.8125714,12.03521926,68.69524,4.36,35.87,30.62,40.5,27.76574838,14.23824425
Argentina,1998,297.6214,367.2161,142.4834,86.7889771,67.45269836,0.896311038,152.0482674,4.594696721,128.2740032,12.69438518,69.5947,4.29,37.01,31.53,42.42,28.00185708,13.08641033
Argentina,1999,302.0324,372.2872,144.475,87.31145914,69.27186072,0.974055153,154.2203222,4.723104754,129.735435,13.3535511,70.25476,4.28,41.39,30.27,41.09,28.91796577,12.55235641
Argentina,2000,303.1818,374.0903,143.205,87.83394118,71.09102309,1.051799268,153.709577,4.272600787,131.1968668,14.01271702,70.90851,4.31,41.77,30.26,40.21,29.32407446,12.14550249
Argentina,2001,294.8754,364.2876,132.6055,88.66221178,72.33485495,1.27281475,143.5654834,4.214403305,132.9442861,14.15125475,69.41216,4.14,35.7,30.97,36.49,28.1053411,12.30014225
Argentina,2002,289.2867,359.4722,124.7237,89.49048238,73.57868681,1.493830232,136.6766198,3.628589822,134.6917054,14.28979247,70.18553,3.69,33.26,29.43,33.98,27.20660774,12.80001201
Argentina,2003,302.5063,372.9856,135.6502,90.31875297,74.82251866,1.714845714,147.1304462,4.50837634,136.4391247,14.4283302,70.47932,3.73,37.1,32.31,34.87,29.47787438,13.37257177
Argentina,2004,321.1681,392.7991,152.0189,91.14702357,76.06635052,1.935861196,163.1620925,5.252594857,138.186544,14.56686793,71.63101,3.83,45.76,36.01,36.24,32.07914101,13.07295154
Argentina,2005,328.3428,399.8989,156.9005,91.97529417,77.31018238,2.156876678,167.5464289,6.147037375,139.9339632,14.70540566,71.55605,4.33,48.02,34.95,37.89,33.84040765,12.8460213
Argentina,2006,339.8176,401.2711,166.8018,92.81171423,77.80894455,2.395095364,176.973537,7.064665489,140.9016993,14.86768836,61.45346,3.63,50.6,38.06,39.86,35.44711968,13.00641735
Argentina,2007,348.1888,409.1962,173.5996,93.6481343,78.30770671,2.63331405,183.6431951,7.656197604,141.8694353,15.02997106,61.00739,4.21,55.84,37.96,40.55,35.85383172,13.4393634
Argentina,2008,360.8917,422.9919,184.7291,94.48455437,78.80646888,2.871532736,194.9003032,7.961937719,142.8371713,15.19225376,62.10025,4.37,61.28,36.69,43.27,40.06054375,13.59975944
Argentina,2009,356.0661,418.7746,178.3302,95.32097444,79.30523105,3.109751422,188.5437513,8.362941834,143.8049073,15.35453647,62.70848,4.39,61.84,34.76,38.9,39.24725579,13.79649549
Argentina,2010,363.7932,426.0262,184.4838,96.1573945,79.80399321,3.347970107,194.8863494,8.617385949,144.7726433,15.51681917,62.233,5.7,62.83,33.94,44.95,39.26396782,13.90238154
Argentina,2011,372.4605,434.6935,190.6464,97.20462069,81.00475201,3.604711486,200.5601807,9.43561434,146.7910629,15.6736031,62.233,6.28,67.32,35.89,46.86,36.61673446,13.87344622
Armenia,1990,24.1062,24.1062,20.7013,3.22006794,0.170010127,0.014814951,22.261192,0.256079778,0.982343587,0.616542479,,0.59,6.05,4.57,2.93,7.041041,1.670151
Armenia,1991,24.8982,24.8982,21.6437,3.07066071,0.167871601,0.016013304,23.08029251,0.239667559,0.967754166,0.610485633,,0.66,7.73,4.87,2.87,6.059822612,1.5504699
Armenia,1992,13.9821,14.7056,10.8779,2.921253481,0.165733076,0.017211657,12.20939302,0.215067657,0.953164745,0.604428787,0.72356,0.46,4.82,1.49,1.81,2.658604224,1.4307888
Armenia,1993,8.0528,8.777,5.0989,2.771846251,0.16359455,0.01841001,6.398493536,0.11733801,0.938575324,0.598371941,0.72426,0.2,0.81,2.1,1.18,0.997385836,1.3111077
Armenia,1994,5.6148,6.3398,2.8113,2.622439022,0.161456025,0.019608364,4.027594048,0.070904364,0.923985903,0.592315095,0.72496,0.15,0.82,0.73,0.16,1.126167448,1.1914266
Armenia,1995,6.1867,6.9124,3.5336,2.473031792,0.1593175,0.020806717,4.54669456,0.134390717,0.909396483,0.586258249,0.72565,0.1,1.38,0.57,0.11,1.41494906,1.0717455
Armenia,1996,5.0828,5.8091,2.5692,2.325392723,0.158247762,0.029903681,3.435966984,0.169135681,0.896611901,0.5810616,0.72635,0.06,1.53,0.48,0.06,0.413902584,0.9520644
Armenia,1997,5.7005,6.4275,3.3266,2.177753654,0.157178024,0.039000645,4.055239408,0.185560645,0.88382732,0.57586495,0.72704,0.06,1.79,0.89,0.06,0.482856108,0.8323833
Armenia,1998,5.6945,6.4223,3.4602,2.030114584,0.156108286,0.048097609,4.054511832,0.198321609,0.871042738,0.5706683,0.72774,0.06,1.78,1.01,0.07,0.481809632,0.7127022
Armenia,1999,5.1976,5.926,3.1029,1.882475515,0.155038548,0.057194573,3.563784256,0.200090573,0.858258157,0.56547165,0.72844,0.06,1.45,1.06,0.07,0.390763156,0.5930211
Armenia,2000,5.465,6.1941,3.5099,1.734836445,0.15396881,0.066291536,3.87305668,0.176211536,0.845473575,0.560275,0.72913,0.19,1.59,0.72,0.56,0.52971668,0.47334
Armenia,2001,5.6333,6.3665,3.5902,1.777218484,0.175373836,0.0904994,3.94378018,0.2407234,0.897250141,0.551562,0.73314,0.18,1.53,0.8,0.56,0.56118668,0.4925935
Armenia,2002,5.197,5.9302,3.0659,1.819600524,0.196778863,0.114707263,3.40450368,0.290579263,0.949026707,0.542849,0.73324,0.16,0.91,0.79,0.54,0.65265668,0.511847
Armenia,2003,5.6596,6.3929,3.4405,1.861982563,0.21818389,0.138915126,3.79522718,0.329443126,1.000803272,0.534136,0.73333,0.08,0.87,0.98,0.58,0.83412668,0.5311005
Armenia,2004,6.0162,6.7497,3.7092,1.904364602,0.239588916,0.163122989,4.02595068,0.412274989,1.052579838,0.525423,0.73343,0.12,0.76,1.11,0.6,1.00559668,0.550354
Armenia,2005,6.8155,7.549,4.4204,1.946746641,0.260993943,0.187330853,4.70667418,0.487778853,1.104356404,0.51671,0.73353,0.13,0.94,1.37,0.67,1.15706668,0.5696075
Armenia,2006,6.9361,7.6614,4.4514,2.009305552,0.264049146,0.211278953,4.747743969,0.522718953,1.121018767,0.554591961,0.72531,0.12,0.9,1.45,0.66,1.157779969,0.579964
Armenia,2007,7.7233,8.4489,5.1491,2.071864462,0.267104348,0.235227053,5.398813759,0.594299053,1.13768113,0.592473922,0.72565,0.17,1.08,1.18,1.05,1.498493259,0.5903205
Armenia,2008,8.3085,9.0345,5.6447,2.134423373,0.270159551,0.259175153,5.879883548,0.643895153,1.154343492,0.630355883,0.726,0.17,1.03,1.36,1.25,1.639206548,0.600677
